Pub;Aldersgrense;Apningstider;Type ;Adresse;Hjemmside;Tlf;Mail;Kleskode;Inngangspris;Diverse
;;;;;;;;;;
Ad Fontes;18;man-fre 10.00-24.00;Student;;http://www.hsu.no/af;55589745;af@hsu.no;;;
Altona Vinbar;18;man-tor 17.00-24.00, fre-lør 18.00-01.30;Vinbar;;http://www.augustin.no/altona/;55304000;booking@augustion.no (booking);;;
Baklommen Bar;18;tir-lør 18.00-;Cocktailbar;;http://www.tokokker.no/tokokker.aspx?pageId=21;55306955;restaurant@tokokker.no;;;
Baran Café;18;;Pub;;;55232700;;;;
Beyer'en Bar & Restaurant;18;man-tor 17.00-23.00, fre-lør 17.00-24.00;Cocktail/Vinbar;;http://www.firsthotels.no/Vare-Hotell/Hotell-i-Norge/Bergen/First-Hotel-Marin/Restaurant--bar/Beyeren-Bar/;53051515;;;;
Biblioteket Bar;man-tor 20, fre-lør 23;man-tor 18.00-01.30, fre 17.00-03.00, lør 16.00-03.00;Pub;;http://www.kjottbasaren.no/biblioteket/;55011885;booking@biblioteketbar.no;Smart-Casual;Gratis;
Biskopen;18;man-tor 18.00-03.00, fre 13.00-03.00, lør 13.00.03.00, søn 18.00-03.00;Pub;;http://www.biskopen.no/;98145707;;;;
Bocca Restaurant;18;man-tir 12.00-02.00, ons-lør 12.00-03.30 søn 16.00-02.00;Cocktailbar;;http://olebullhuset.no/bocca-bar/;;booking@olebullhuset.no;;;
BrukBar;20;man-tor 19.00-02.30, fre-lør 17.00-02.30;Pub;;http://www.brukbarbergen.no/;55705415;brukbar@sincoas.no ;;;Quiz, variert musikk, daglige events
Bryggen Nightclub;18;fre-lør 22.00-03.00, (egne åpningstider for fotball);Sportsbar/Nattklubb;;http://www.bryggennightclub.no/;55961500;post@bryggennightclub.no;;Gratis;
Café Contra Bar;18;tir-tor 18.00-02.00, fre-lør 18.00-02.30;Bar;;http://www.contra.as/;;;Smart-Casual;;
Café Opera;18;man-tir 10.00-00.30, ons-fre 10.00-03.30, lør 11.00-03.30, søn 11.00-23.30;Bar/multi;;http://www.cafeopera.org/;55230315;cafeopera@engengruppen.no;;;
Café Teknokrates;18;;Student;;http://bergents.org/cafe-teknokrates/;;bts@bergents.org;;;Events torsdag, quiz
Calibar;tor 20, fre-lør 24;tor 22.00-03.00, fre-lør 18.00-03.00;Bar;;http://www.calibar.no/;45081055;booking@calibar.no;;;
Champions Sportsbar AS;18;;Sportsbar;;;55901518;;;;
Ditlef & Exodus;18;lør 23.00-03.00;Nattklubb;;http://exodus.no/;55321399;;;Gratis;
Downstairs;tor-lør 18-25;tor-lør;Sportsbar/Nattklubb;;http://www.downstairssportsbar.no/;55336666;post@fotballpuben.no;;;I kjelleren til Fotballpuben
Dr. Wiesener;18;søn-tor 13.00-01.00 fre-lør 13.00-02.00;Pub;;https://www.facebook.com/DrWiesener;41623969;drwiesener@gmail.com;;;
Dreams Showbar;23;man-lør 22.00-sent;Showbar;;http://www.dreams.no/bergen;55902390;bergen@dreams.no;;250,-;
Dråpen Vinbar;18;man-tor 16.00-01.00, fre 16.00-02.00, lør 13.00-02.00, søn 18.00-24.00;Vinbar;;http://www.draapenvinbar.no/;90299900;;;;
Elefanten;18;man 12.00-01.00, tir-lør 12.00-02.30, søn 14.00-01.00;Pub;;https://www.facebook.com/pages/Elefanten/179171138782914;;godserveringas@gmail.com;;;
Felix Sportsbar;20;man-søn 12.00-03.30;Sportsbar;;http://www.felixbergen.no/;40411312;post@felixbergen.no;;;Live musikk hver dag, live fotball på storskjerm
Femte I Andre Bar;18;man-tor 18.00-01.00, fre-lør 18.00-02.00;Bar/Akevittbar;;http://www.femteiandre.no/;;post@femteiandre.no;;;
Finnegans Irish Pub;18;man-søn 14.00-03.00;Irsk Pub;;http://www.ricks.no/?page_id=62;55553139;michael@ricks.no;;;Sport på storskjerm
Folk & Røvere;18;man-ons 15.00-01.30, tor-fre 15.00-03.00, lør 12.00-03.00, søn 12.00-01.30;Pub;;https://www.facebook.com/pages/Folk-og-R%C3%B8vere/77216632784?ref=ts&fref=ts#;45243457;folkets@gmail.com;;;
